,experiment_number,git_hash,lineno,log_message,path_results_big,script_path
0,0,b'7c52749249a441bae45f8800fd118fd6f761862b\n',4,"single input, learning rate and regularization grid search, 500 epochs",/mnt/datascience-vol/hpsearch/experiments/00000/0,<ipython-input-4-8fc501477ce0>
1,1,b'7c52749249a441bae45f8800fd118fd6f761862b\n',4,"single input, learning rate and regularization grid search, 500 epochs",/mnt/datascience-vol/hpsearch/experiments/00001/0,<ipython-input-4-8fc501477ce0>
2,2,b'7c52749249a441bae45f8800fd118fd6f761862b\n',4,"single input, learning rate and regularization grid search, 500 epochs",/mnt/datascience-vol/hpsearch/experiments/00002/0,<ipython-input-4-8fc501477ce0>
3,3,b'7c52749249a441bae45f8800fd118fd6f761862b\n',4,"single input, learning rate and regularization grid search, 500 epochs",/mnt/datascience-vol/hpsearch/experiments/00003/0,<ipython-input-4-8fc501477ce0>
4,4,b'7c52749249a441bae45f8800fd118fd6f761862b\n',4,"single input, learning rate and regularization grid search, 500 epochs",/mnt/datascience-vol/hpsearch/experiments/00004/0,<ipython-input-4-8fc501477ce0>
5,5,b'7c52749249a441bae45f8800fd118fd6f761862b\n',4,"single input, learning rate and regularization grid search, 500 epochs",/mnt/datascience-vol/hpsearch/experiments/00005/0,<ipython-input-4-8fc501477ce0>
